8.95 0.00196756 -0.127425 -0.310331
9 0.00185025 -0.121339 -0.297636
9.05 0.00173653 -0.115254 -0.28464
9.1 0.0016262 -0.10917 -0.271356
9.15 0.00151903 -0.103088 -0.2578
9.2 0.00141483 -0.0970077 -0.243984
9.25 0.0013134 -0.0909293 -0.229925
9.3 0.00121453 -0.084853 -0.215636
9.35 0.00111805 -0.0787789 -0.201133
9.4 0.00102376 -0.0727071 -0.18643
9.45 0.000931491 -0.0666376 -0.171543
9.5 0.000841052 -0.0605704 -0.156486
9.55 0.000752272 -0.0545055 -0.141276
9.6 0.000664978 -0.0484429 -0.125927
9.65 0.000578999 -0.0423823 -0.110455
9.7 0.000494166 -0.0363236 -0.0948755
9.75 0.000410312 -0.0302667 -0.0792036
9.8 0.000327274 -0.0242113 -0.0634548
9.85 0.000244887 -0.0181573 -0.0476447
9.9 0.000162987 -0.0121043 -0.0317886
9.95 8.14123e-05 -0.00605195 -0.0159019
